codigo,nombre,precio_texto,precio_valor,moneda,imagen,imagen_url
LD52-7-,"DESMALEZADORA NAFTERA 52CC 1,7 HP LUSQTOFF 7B Y 7M","$ 105,000",105.0,ARS,fotos/RD-577-2.jpg,https://www.electrotecno.ar/fotos/RD-577-2.jpg
MATEIMPE,MATE IMPERIAL CUERO Y ACERO INOX _________________,"$ 23,600",23.6,ARS,fotos/RD-577-3.jpg,https://www.electrotecno.ar/fotos/RD-577-3.jpg
MELECH-55,SET DE UTENSILIOS DE METAL 9PCS BA-55 ____________,"$ 23,800",23.8,ARS,fotos/RD-577-3.jpg,https://www.electrotecno.ar/fotos/RD-577-3.jpg
mopa1,MOPA CENTRIFUGA 360 GRADOS  ______________________,"$ 11,500",11.5,ARS,fotos/RD-657.jpg,https://www.electrotecno.ar/fotos/RD-657.jpg
OF-0C-01,SILLA DE OFICINA ERGONOMICAS  - OC-001 -  ________,"$ 44,000",44.0,ARS,fotos/RD-657.jpg,https://www.electrotecno.ar/fotos/RD-657.jpg
PORTATERMOMAT,PORTA TERMO Y MATE _______________________________,"$ 7,900",7.9,ARS,fotos/RD-657-2.jpg,https://www.electrotecno.ar/fotos/RD-657-2.jpg
Q6,TV STICK ANDROID 4K 16gb Ram Wifi ULTRA HD tv box,"$ 29,500",29.5,ARS,fotos/RD-657-2.jpg,https://www.electrotecno.ar/fotos/RD-657-2.jpg
R082,PISTOLA MASAJEADORA RECARGABLE SH4047MI M12102 ___,"$ 13,900",13.9,ARS,fotos/RD-657-3.jpg,https://www.electrotecno.ar/fotos/RD-657-3.jpg
R258520,SILLA DE CAMPING PLEGABLE JS-7447 reposera _______,"$ 17,200",17.2,ARS,fotos/RD-657-3.jpg,https://www.electrotecno.ar/fotos/RD-657-3.jpg
S02952UC,BASE DE TORTA PLATO GIRATORIO 31 CM ACERO PROF -,"$ 38,800",38.8,ARS,fotos/TMPT9612.jpg,https://www.electrotecno.ar/fotos/TMPT9612.jpg
Secaplatos,SECA PLATOS ESCURRIDOR PARA 13 PLATOS  ___________,"$ 10,800",10.8,ARS,fotos/TMPT9612.jpg,https://www.electrotecno.ar/fotos/TMPT9612.jpg
TEJO,TEJO PLAYERO DE GOMA- PREMIUM ____________________,"$ 14,800",14.8,ARS,fotos/TMPT9612-2.jpg,https://www.electrotecno.ar/fotos/TMPT9612-2.jpg
tenderalas,"TENDER PIE CON ALAS 7 VARILLAS 1,45 CMX75CM ALTO _","$ 17,900",17.9,ARS,fotos/TMPT9612-2.jpg,https://www.electrotecno.ar/fotos/TMPT9612-2.jpg
TFK-HD220D--,HELADERA 220 LTS CON DISPENSER TELEFUNKEN ________,"$ 450,000",450.0,ARS,fotos/2128503MD---.jpg,https://www.electrotecno.ar/fotos/2128503MD---.jpg
VLKITRD-,KIT DE HERRAMIENTAS 499 EN 1 MALETIN KANJI _______,"$ 165,000",165.0,ARS,fotos/2128503MD---.jpg,https://www.electrotecno.ar/fotos/2128503MD---.jpg
WFVCRK305A,ASPIRADORA ROBOT WESTINGHOUSE 3 EN 1 _____________,"$ 110,000",110.0,ARS,fotos/2128503MD----2.jpg,https://www.electrotecno.ar/fotos/2128503MD----2.jpg
WH-SM700SB-02,SANDWICHERA ELECTRICA WESTINGHOUSE  ______________,"$ 18,500",18.5,ARS,fotos/2128503MD----2.jpg,https://www.electrotecno.ar/fotos/2128503MD----2.jpg
Wh-v2000,PANEL CONVECTOR VITROCERAMICO WESTINGHOUSE _______,"$ 70,000",70.0,ARS,fotos/473ML--.jpg,https://www.electrotecno.ar/fotos/473ML--.jpg
WHHCL8188-,CORTADORA DE PELO WESTINGHOUSE ___________________,"$ 24,000",24.0,ARS,fotos/473ML--.jpg,https://www.electrotecno.ar/fotos/473ML--.jpg
WHHS3232,PLANCHITA DE PELO 2 EN 1 WESTINGHOUSE ____________,"$ 16,500",16.5,ARS,fotos/CPC-801.jpg,https://www.electrotecno.ar/fotos/CPC-801.jpg
045A-045AB,SILLA DE ESCRITORIO GAMER PC  ____________________,"$ 109,000",109.0,ARS,fotos/CPC-801.jpg,https://www.electrotecno.ar/fotos/CPC-801.jpg
BJ-183,ORGANIZADOR Y ESCURRIDOR DE CUBIERTOS BJ-88 _____,"$ 8,800",8.8,ARS,fotos/H-08.jpg,https://www.electrotecno.ar/fotos/H-08.jpg
C04546LI,KIT DE LIMPIEZA TRANSPARENTE -  __________________,"$ 8,500",8.5,ARS,fotos/H-08.jpg,https://www.electrotecno.ar/fotos/H-08.jpg
CARRO-PLAYERO,CARRO PLAYERO MESA - ALUMINIO MOR -  _____________,"$ 47,600",47.6,ARS,fotos/KJHWMCVSL6K.jpg,https://www.electrotecno.ar/fotos/KJHWMCVSL6K.jpg
COMBO-WANKE,COMBO LAVARROPAS 6KG + SECARROPAS 10KG WANKEE  ___,"$ 249,000",249.0,ARS,fotos/KJHWMCVSL6K.jpg,https://www.electrotecno.ar/fotos/KJHWMCVSL6K.jpg
CUBIERTOS-DUAVF,SET DE CUBIERTOS 25 PIEZAS DUAVF _________________,"$ 11,500",11.5,ARS,fotos/KJHWMCVSL6K-2.jpg,https://www.electrotecno.ar/fotos/KJHWMCVSL6K-2.jpg
K-GZ-001,GAZEBO PLEGABLE 3X3 MTS TELA OXFORD  _____________,"$ 90,000",90.0,ARS,fotos/KJHWMCVSL6K-2.jpg,https://www.electrotecno.ar/fotos/KJHWMCVSL6K-2.jpg
L-820--,AMOLADORA ANGULAR 720W - LUSQTOFF - ______________,"$ 36,500",36.5,ARS,fotos/RD-642.jpg,https://www.electrotecno.ar/fotos/RD-642.jpg
PM002-BRZ,SET DE MOLINILLOS SALERO Y PIMENTERO  ____________,"$ 10,500",10.5,ARS,fotos/RD-642.jpg,https://www.electrotecno.ar/fotos/RD-642.jpg
REPOSERA-5POS,REPOSERAS 5 POSICIONES REFORZADA  ________________,"$ 29,500",29.5,ARS,fotos/RD-642-2.jpg,https://www.electrotecno.ar/fotos/RD-642-2.jpg
REPOSERA-8POS,REPOSERA ALUMINIO MOR 8 POSICIONES _______________,"$ 29,000",29.0,ARS,fotos/RD-642-2.jpg,https://www.electrotecno.ar/fotos/RD-642-2.jpg
SAFIRA-4PIEZAS,SET DE BATERIA 4 PIEZAS SAFIRA MTA  ______________,"$ 44,000",44.0,ARS,fotos/RD-642-3.jpg,https://www.electrotecno.ar/fotos/RD-642-3.jpg
SET-TURIN12P,SET DE BATERIA 12 PIEZAS TRAMONTINA  COLORES _____,"$ 130,000",130.0,ARS,fotos/RD-642-3.jpg,https://www.electrotecno.ar/fotos/RD-642-3.jpg
SPA002-,REPOSERA DE ALUMINIO FIJA - LAGOS -  _____________,"$ 25,500",25.5,ARS,fotos/SETFARY5P.jpg,https://www.electrotecno.ar/fotos/SETFARY5P.jpg
VULCAN,"PARLANTE TORRE VULCAN 2 x 15"" KEN BROWN  _________","$ 396,000",396.0,ARS,fotos/SETFARY5P.jpg,https://www.electrotecno.ar/fotos/SETFARY5P.jpg
147078-009F,TRICICLO TIPO NAVE ESPACIAL FROZEN -  ____________,"$ 76,500",76.5,ARS,fotos/SETFARY5P-2.jpg,https://www.electrotecno.ar/fotos/SETFARY5P-2.jpg
BOOM10,PARLANTE TORRE BOOM 10 KEN BROWN  -  _____________,"$ 249,000",249.0,ARS,fotos/SETFARY5P-2.jpg,https://www.electrotecno.ar/fotos/SETFARY5P-2.jpg
DL1417,PARLANTE TORRE CON PANTALLA ANDROID DELHI ________,"$ 850,000",850.0,ARS,fotos/SH4579OR.jpg,https://www.electrotecno.ar/fotos/SH4579OR.jpg
FIREBIRD-BICI,BICICLETA FIRE BIRD RODADO 29 ACERO MOD 2026  ____,"$ 219,000",219.0,ARS,fotos/SH4579OR.jpg,https://www.electrotecno.ar/fotos/SH4579OR.jpg
HDESBLK10,MONOPATIN ELECTRICO PREMIUM HEAD _________________,"$ 1,550,000",,ARS,fotos/VXACH29.jpg,https://www.electrotecno.ar/fotos/VXACH29.jpg
HGAW4523PI-,HORNO ELECTRICO GRILL 45 LTS ATMA BLANCO - _______,"$ 140,000",140.0,ARS,fotos/VXACH29.jpg,https://www.electrotecno.ar/fotos/VXACH29.jpg
MON350-7,MONOPATIN ELECTRICO GRANDE 350W LUSQTOFF _________,"$ 460,000",460.0,ARS,fotos/VXACH29-2.jpg,https://www.electrotecno.ar/fotos/VXACH29-2.jpg
TO39DSPP,TOSTADORA ELECTRICA SPIDERMAN ATMA _______________,"$ 35,000",35.0,ARS,fotos/VXACH29-2.jpg,https://www.electrotecno.ar/fotos/VXACH29-2.jpg
VGG245EP,VALIJA MEDIANA 24 PULGADAS - GRIS -  -  __________,"$ 45,000",45.0,ARS,fotos/WD-580.jpg,https://www.electrotecno.ar/fotos/WD-580.jpg
VT3820-,"VENTILADOR DE PIE 20"" YELMO  _____________________","$ 40,000",40.0,ARS,fotos/WD-580.jpg,https://www.electrotecno.ar/fotos/WD-580.jpg
AW-CBK14,"NOTEBOOK 14,1"" AIWA 128GB - 4GB RAM WINDOWS 11 ___","$ 250,000",250.0,ARS,fotos/DL1166.jpg,https://www.electrotecno.ar/fotos/DL1166.jpg
AW-T381,"PARLANTE BLUETOOTH TORRE AIWA 3x8"" _______________","$ 115,000",115.0,ARS,fotos/DL1166.jpg,https://www.electrotecno.ar/fotos/DL1166.jpg
DB58X7550-,"SMART TV 58"" NOBLEX ANDROID TV FULL HD 4K  _______","$ 645,000",645.0,ARS,fotos/DL1181-2.jpg,https://www.electrotecno.ar/fotos/DL1181-2.jpg
ET035CF,AIRE ACONDICIONADO SPLIT 3500W FRIO CALOR ELECTRA,"$ 550,000",550.0,ARS,fotos/DL1181-2.jpg,https://www.electrotecno.ar/fotos/DL1181-2.jpg
ETI36C,AIRE ACONDICIONADO INVERTER 3600W ELECTRA  _______,"$ 600,000",600.0,ARS,fotos/DL1181-2-2.jpg,https://www.electrotecno.ar/fotos/DL1181-2-2.jpg
HDR370F61E,HELADERA DREAN 362 LTS CICLICA CON DISPENSER  ____,"$ 670,000",670.0,ARS,fotos/DL1181-2-2.jpg,https://www.electrotecno.ar/fotos/DL1181-2-2.jpg
RT1N205NEW1,HELADERA CON FREEZER HISENSE 205 LTS CICLICA _____,"$ 400,000",400.0,ARS,fotos/DL1181-2-3.jpg,https://www.electrotecno.ar/fotos/DL1181-2-3.jpg
SH3682MI,RED DE PING PONG PLEGABLE PLASTICO  175 X 14 CM -,"$ 9,500",9.5,ARS,fotos/DL1181-2-3.jpg,https://www.electrotecno.ar/fotos/DL1181-2-3.jpg
LAB06W,LAVARROPAS AUTOMATICO 6KG BGH INVERT BWEF06W24AR _,"$ 430,000",430.0,ARS,fotos/4800-.jpg,https://www.electrotecno.ar/fotos/4800-.jpg
LAB106SS,LAVARROPAS AUTOMATICO BGH 6KG Bwfe06s24ar ________,"$ 455,000",455.0,ARS,fotos/4800-.jpg,https://www.electrotecno.ar/fotos/4800-.jpg
SBL6500BT,PARLANTE TORRE CROWN MUSTANG SBL 6500BT -  _______,"$ 239,000",239.0,ARS,fotos/912-.jpg,https://www.electrotecno.ar/fotos/912-.jpg
WTJA802T,LAVARROPAS CARGA SUPERIOR 6KG HISENSE TITANIUM ___,"$ 395,000",395.0,ARS,fotos/912-.jpg,https://www.electrotecno.ar/fotos/912-.jpg
CONSERV-HELAFRIO,CONSERVADORA 34 LTS HELAFRIO  ____________________,"$ 15,500",15.5,ARS,fotos/AFR-1802.jpg,https://www.electrotecno.ar/fotos/AFR-1802.jpg
KJ-32MT005-2,"SMART TV 32"" KANJI ANDRID TV FULL HD- - __________","$ 190,000",190.0,ARS,fotos/AFR-1802.jpg,https://www.electrotecno.ar/fotos/AFR-1802.jpg
PE1821NAP-,PAVA ELECTRICA CON CORTE MATE - ATMA - NEGRA _____,"$ 34,000",34.0,ARS,fotos/AFR-1802-2.jpg,https://www.electrotecno.ar/fotos/AFR-1802-2.jpg
SMART-50-KODAK,"SMART TV 50"" KODAK GOOGLE TV FULL HD 4K- _________","$ 430,000",430.0,ARS,fotos/AFR-1802-2.jpg,https://www.electrotecno.ar/fotos/AFR-1802-2.jpg
WE-32MT005,"SMART TV 32"" KODAK - GOOGLE TV - FULL HD  - ______","$ 190,000",190.0,ARS,fotos/AFR-1802-3.jpg,https://www.electrotecno.ar/fotos/AFR-1802-3.jpg
ACL2TS100,ACEITE 2T SINTETICO 100CC LUSQTOFF _______________,"$ 3,200",3.2,ARS,fotos/AFR-1802-3.jpg,https://www.electrotecno.ar/fotos/AFR-1802-3.jpg
BL600-8-,BORDEADORA DE CESPED 600W LUSQTOFF  ______________,"$ 69,600",69.6,ARS,fotos/CANASTA-MATE.jpg,https://www.electrotecno.ar/fotos/CANASTA-MATE.jpg
CPM150,"BOMBA PERIFERICA 220V 0,5HP 370W LUSQTOFF ________","$ 36,500",36.5,ARS,fotos/CANASTA-MATE.jpg,https://www.electrotecno.ar/fotos/CANASTA-MATE.jpg
GP2500,GENERADOR NAFTERO 2500W - GARDENPLUS LUSQTOFF ____,"$ 210,000",210.0,ARS,fotos/CANASTA-MATE-2.jpg,https://www.electrotecno.ar/fotos/CANASTA-MATE-2.jpg
HL100-7,HIDROLAVADORA ALTA PRESION 1200W 100BAR LUSQTOFF _,"$ 75,000",75.0,ARS,fotos/CANASTA-MATE-2.jpg,https://www.electrotecno.ar/fotos/CANASTA-MATE-2.jpg
IL150-8,INFLADOR INALAMBRICO CON MEDIDOR DIG LUSQTOFF ____,"$ 74,500",74.5,ARS,fotos/CONSERV-10LTS.jpg,https://www.electrotecno.ar/fotos/CONSERV-10LTS.jpg
