codigo,nombre,precio_texto,precio_valor,moneda,imagen,imagen_url
PHL-32206,BRACITOS FLOTADORES CANGREJO _____________________,"$ 4,000",4.0,ARS,fotos/KJH-PE10M-2.jpg,https://www.electrotecno.ar/fotos/KJH-PE10M-2.jpg
PHL-32271,BRACITOS FLOTADORES UNICORNIO  ___________________,"$ 4,000",4.0,ARS,fotos/KJH-PE10M-2.jpg,https://www.electrotecno.ar/fotos/KJH-PE10M-2.jpg
PHL-33151,RED DE VOLEY INFABLE PARA PILETA _________________,"$ 20,000",20.0,ARS,fotos/KJH-PE10M-3.jpg,https://www.electrotecno.ar/fotos/KJH-PE10M-3.jpg
PHL-35182,ASIENTO SALVAVIDAS FLOTADOR UNICORNIO  ___________,"$ 9,500",9.5,ARS,fotos/KJH-PE10M-3.jpg,https://www.electrotecno.ar/fotos/KJH-PE10M-3.jpg
PHL-35487,INFLADOR COLHONETA AVION  ________________________,"$ 15,000",15.0,ARS,fotos/KJT-AM8021GB-.jpg,https://www.electrotecno.ar/fotos/KJT-AM8021GB-.jpg
PHL-37243,ASIENTO SALVAVIDAS INFLABLE FLOTADOR CON TECHITO _,"$ 12,000",12.0,ARS,fotos/KJT-AM8021GB-.jpg,https://www.electrotecno.ar/fotos/KJT-AM8021GB-.jpg
PHL-51340,INFABLE ARCO Y PELOTA PILETA _____________________,"$ 20,000",20.0,ARS,fotos/KJT-AM8021GB--2.jpg,https://www.electrotecno.ar/fotos/KJT-AM8021GB--2.jpg
PHL-51459,PILETA INFABLE 143LTS CON LUNARES DE COLORES _____,"$ 10,000",10.0,ARS,fotos/KJT-AM8021GB--2.jpg,https://www.electrotecno.ar/fotos/KJT-AM8021GB--2.jpg
PHL-57140,PILETA ESTRUCTURAL REDONDA 226 LTS _______________,"$ 13,500",13.5,ARS,fotos/KJT-AM8021GB--3.jpg,https://www.electrotecno.ar/fotos/KJT-AM8021GB--3.jpg
PHL-57155,PILETA INFLABLE 40 LTS CON ARCOIRIS ______________,"$ 23,500",23.5,ARS,fotos/KJT-AM8021GB--3.jpg,https://www.electrotecno.ar/fotos/KJT-AM8021GB--3.jpg
SM-8808,SANDWICHERA ELECTRICA ALIEN ______________________,"$ 16,500",16.5,ARS,fotos/LD52-7-.jpg,https://www.electrotecno.ar/fotos/LD52-7-.jpg
X10MAX,Proyector Gamer Ultra Hd Wifi Android Joystick 4k,"$ 90,000",90.0,ARS,fotos/LD52-7-.jpg,https://www.electrotecno.ar/fotos/LD52-7-.jpg
X96Q-,CONVERTIDOR A SMART TV - TV BOX ALIEN ____________,"$ 27,000",27.0,ARS,fotos/MATEIMPE.jpg,https://www.electrotecno.ar/fotos/MATEIMPE.jpg
YQ-201K-1S-,ANAFE ELECTRICO VITROCERAMICO ALIEN  _____________,"$ 34,500",34.5,ARS,fotos/MATEIMPE.jpg,https://www.electrotecno.ar/fotos/MATEIMPE.jpg
DAFCB001-B-,DISPENSER DE AGUA BIDON FRIO - CALIENTE - ________,"$ 165,000",165.0,ARS,fotos/MATEIMPE-2.jpg,https://www.electrotecno.ar/fotos/MATEIMPE-2.jpg
DAFCB022-R,DISPENSER DE AGUA RED - FRIO - CALIENTE  _________,"$ 170,000",170.0,ARS,fotos/MATEIMPE-2.jpg,https://www.electrotecno.ar/fotos/MATEIMPE-2.jpg
KJ-CAMPMC01,MESA CUADRADA PLEGABLE GRANDE - GRIS O BLANCA  ___,"$ 80,000",80.0,ARS,fotos/MATEIMPE-3.jpg,https://www.electrotecno.ar/fotos/MATEIMPE-3.jpg
KJ-CAMPRED01W,MESA PLEGABLE GRANDE CIRCULAR 122 CM X 74CM  _____,"$ 97,500",97.5,ARS,fotos/MATEIMPE-3.jpg,https://www.electrotecno.ar/fotos/MATEIMPE-3.jpg
KJH-FI2415001,"VENTILADOR SEMI INDUSTRIAL 24"" 2 EN 1 KANJI ______","$ 98,000",98.0,ARS,fotos/MELECH-55.jpg,https://www.electrotecno.ar/fotos/MELECH-55.jpg
KJH-FI3020001,"VENTILADOR INDUSTRIAL 30"" 2 EN 1 KANJI ___________","$ 109,000",109.0,ARS,fotos/MELECH-55.jpg,https://www.electrotecno.ar/fotos/MELECH-55.jpg
KJW-INF01,INFLADOR MULTIUSO PORTATIL PREMIUM  ______________,"$ 40,000",40.0,ARS,fotos/MELECH-55-2.jpg,https://www.electrotecno.ar/fotos/MELECH-55-2.jpg
